TIME,YEAR,GEO,UNIT,TRA_MEAS,PARTNER,Value,Flag and Footnotes,MONTH
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Belgique,186,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Bulgarie,956,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Tchéquie,31,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Danemark,750,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Allemagne,4169,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Irlande,413,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Grèce,1131,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Espagne,11316,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),France,3095,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Croatie,185,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Italie,6440,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Lettonie,38,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Lituanie,1,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Luxembourg,3,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Hongrie,18,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Malte,525,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Pays-Bas,2216,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Autriche,1818,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Pologne,1517,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Portugal,3147,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Roumanie,2733,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Slovaquie,4,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Finlande,540,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Suède,514,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Suisse,2422,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Royaume-Uni,3797,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Macédoine du Nord,164,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Serbie,52,,2
2021M02,2021,Belgique,Passager,Passagers à bord (arrivées),Turquie,4091,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),Belgique,1383,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),Tchéquie,420,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),Danemark,928,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),Allemagne,16061,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),Irlande,1157,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),Grèce,1091,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),Espagne,3392,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),France,3661,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),Italie,3104,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),Chypre,1641,,2
2021M02,2021,Bulgarie,Passager,Passagers à bord (arrivées),Malte,867,,2
